id	name	cluster_id
1	BRD-K63126190	1
2	BRD-A74269027	8
3	BRD-K06854232	15
4	BRD-K76723084	2
5	BRD-K79254416	15
6	BRD-K52662033	7
7	BRD-A33692381	15
8	BRD-A35108200	12
9	BRD-K35483542	2
10	BRD-K77987382	8
11	BRD-K47000838	15
12	BRD-A40639672	15
13	BRD-K18910433	8
14	BRD-K43687498	5
15	BRD-A67479912	8
16	BRD-K34730807	1
17	BRD-K86003836	8
18	BRD-A09722536	8
19	BRD-K70881766	15
20	BRD-K48578705	8
21	BRD-K59197931	4
22	BRD-A69815203	15
23	BRD-K47832606	15
24	BRD-K90241462	14
25	BRD-K43764301	8
26	BRD-K73251053	4
27	BRD-K96354014	15
28	BRD-A58048407	15
29	BRD-K16508793	15
30	BRD-K23204545	3
31	BRD-K37080523	9
32	BRD-K76634210	15
33	BRD-K41260949	3
34	BRD-A83937277	15
35	BRD-K47278471	7
36	BRD-K35586044	10
37	BRD-K05395900	8
38	BRD-K67783091	8
39	BRD-K39944607	15
40	BRD-A28545468	1
41	BRD-A57133233	7
42	BRD-A01636364	8
43	BRD-A22101059	5
44	BRD-A50310035	8
45	BRD-A73741725	8
46	BRD-K57222227	15
47	BRD-K10843433	15
48	BRD-K13927029	2
49	BRD-K45330754	4
50	BRD-A50157456	1
51	BRD-K09668667	3
52	BRD-A31204924	8
53	BRD-K94397152	15
54	BRD-K78692225	8
55	BRD-A97739905	8
56	BRD-K28307902	8
57	BRD-K33106058	15
58	BRD-K59632282	15
59	BRD-K73589401	8
60	BRD-A86044036	8
61	BRD-A37780065	12
62	BRD-K93460210	15
63	BRD-A39290993	14
64	BRD-A18043272	8
65	BRD-K82562631	15
66	BRD-A09472452	15
67	BRD-A67097164	8
68	BRD-K02404261	15
69	BRD-K97399794	15
70	BRD-K78513633	15
71	BRD-K53342282	14
72	BRD-K02407574	8
73	BRD-A71765365	9
74	BRD-K78126613	8
75	BRD-K22031190	8
76	BRD-A66861218	13
77	BRD-K48099440	8
78	BRD-K99792991	8
79	BRD-K28907958	15
80	BRD-A27887842	8
81	BRD-K94070024	14
82	BRD-A55424491	15
83	BRD-A75172220	8
84	BRD-K32318651	15
85	BRD-K22969690	8
86	BRD-A99633051	5
87	BRD-A82329351	8
88	BRD-A30205217	8
89	BRD-K88969189	15
90	BRD-K92093830	11
91	BRD-A02367930	15
92	BRD-A07893380	3
93	BRD-K13032584	7
94	BRD-K29950728	8
95	BRD-K86595100	15
96	BRD-K06467078	10
97	BRD-K09631521	3
98	BRD-A53077924	15
99	BRD-K38305202	15
100	BRD-A13982089	1
101	BRD-K67017579	15
102	BRD-K56429665	8
103	BRD-K51207550	6
104	BRD-K52989797	15
105	BRD-A09533288	8
106	BRD-K79224779	8
107	BRD-K32610195	8
108	BRD-A26423207	11
109	BRD-K05977355	15
110	BRD-K49685476	8
111	BRD-K03406345	15
112	BRD-K88429204	15
113	BRD-A07395371	8
114	BRD-A59174698	1
115	BRD-K16606819	8
116	BRD-K47178855	5
117	BRD-K80738081	4
118	BRD-A97104540	8
119	BRD-A60070924	8
120	BRD-K37264083	1
121	BRD-K10670311	15
122	BRD-K25394294	15
123	BRD-K01188359	11
124	BRD-A33280134	11
125	BRD-K32273377	8
126	BRD-K43736954	8
127	BRD-K37270826	15
128	BRD-K60640630	14
129	BRD-K38436528	8
130	BRD-K50133271	8
131	BRD-A29260609	15
132	BRD-K71879491	2
133	BRD-A17448384	14
134	BRD-K20986251	3
135	BRD-K29458283	7
136	BRD-K39188321	12
137	BRD-K32247306	8
138	BRD-K43797669	15
139	BRD-K95921201	9
140	BRD-K54416256	3
141	BRD-A36066264	15
142	BRD-K24844714	6
143	BRD-K10995081	15
144	BRD-A37630846	11
145	BRD-K52020312	8
146	BRD-K48168960	6
147	BRD-A95939040	15
148	BRD-K79131256	8
149	BRD-A63646118	8
150	BRD-A10070317	4
151	BRD-A04322457	1
152	BRD-K69688083	6
153	BRD-K48300629	8
154	BRD-K55930204	15
155	BRD-K72093121	15
156	BRD-K17674993	13
157	BRD-A76528577	11
158	BRD-K35520305	8
159	BRD-K92778217	8
160	BRD-K84175871	1
161	BRD-K58938839	15
162	BRD-K11433652	8
163	BRD-A17655518	4
164	BRD-A35588707	11
165	BRD-A54236247	1
166	BRD-A24514565	15
167	BRD-A94756469	15
168	BRD-K71799949	8
169	BRD-A93255169	15
170	BRD-K37949327	5
171	BRD-K89997465	15
172	BRD-K85119730	8
173	BRD-A08709697	15
174	BRD-K13664374	3
175	BRD-K36248164	8
176	BRD-K43457670	8
